"","partial.name","regex","full.name"
"4676"," LobbyControl 6314918394-16","lobbycontrol 6314918394 16",""
"4677","Corporate Europe Observatory 5353162366-85","corporate europe observatory 5353162366 85",""
"4678"," Christopher Glück","christopher glück",""
"4679"," Hartmut Bäumer","hartmut bäumer",""
"4680","Verband öffentlicher Wirtschaft (VÖWG) 16441688074-96","verband öffentlicher wirtschaft vöwg 16441688074 96",""
"4681","The Spinelli Group","the spinelli group",""
"4682"," Andrew Duff","andrew duff",""
"4683","Adolf Würth GmbH & Co. KG 690399725323-59","adolf würth gmbh co kg 690399725323 59",""
"4684","Transparency International EU 501222919-71","transparency international eu 501222919 71",""
"4685"," Michiel van Hulten","michiel van hulten",""
"4686","Corporate Europe Observatory (CEO) 5353162366-85","corporate europe observatory ceo 5353162366 85",""
"4687","Brot für die Welt (BfdW) 46530831412-96","brot für die welt bfdw 46530831412 96",""
"4688"," Michael Hansmann","michael hansmann",""
"4689","King Baudouin Foundation (KBF) 759326517587-51","king baudouin foundation kbf 759326517587 51",""
"4690"," Adessium Foundation","adessium foundation",""
"4691"," Stefan Schäfers","stefan schäfers",""
"4692"," Tamara van Strijp","tamara van strijp",""
"4693","EAW","eaw",""
"4694","European Federation of Journalists 27471236588-39","european federation of journalists 27471236588 39",""
"4695"," Renate Schröder and Janina Körber","renate schröder and janina körber",""
"4696","European Movement International (EMI) 35279857524-58","european movement international emi 35279857524 58",""
"4697"," Pier Virgilio Dastoli","pier virgilio dastoli",""
"4698"," President of Movimento Europeo Italia","president of movimento europeo italia",""
"4699"," PERNOD RICARD 352172811-92","pernod ricard 352172811 92",""
"4700","EAZA","eaza",""
"4701","EBA","eba",""
"4702","ECDC","ecdc",""
"4703","IndustryAll","industryall",""
"4704","EU-kommissionen","eu kommissionen",""
"4705","S&D Youth Forum on Gender Equality","s d youth forum on gender equality",""
"4706","Sveriges Utbildningsminister","sveriges utbildningsminister",""
"4707","CEEP","ceep",""
"4708","International Organization for Migration","international organization for migration",""
"4709"," Finskt Näringsliv","finskt näringsliv",""
"4710"," Næringslivets Hovedorganisasjon och Dansk Industri","næringslivets hovedorganisasjon och dansk industri",""
"4711","Lärosäten Syd och sydsvenska Brysselkontoren","lärosäten syd och sydsvenska brysselkontoren",""
"4712","Säpo","säpo",""
"4713"," Polisen","polisen",""
"4714"," Skatteverket","skatteverket",""
"4715"," Försvarsmakten","försvarsmakten",""
"4716"," MSB","msb",""
"4717"," Trafikverket","trafikverket",""
"4718"," Transportstyrelsen","transportstyrelsen",""
"4719","Sveriges Kommuner och Regioner","sveriges kommuner och regioner",""
"4720","Sveriges Radio och de nordiska public service bolagen i Bryssel","sveriges radio och de nordiska public service bolagen i bryssel",""
"4721","Teknikföretagen","teknikföretagen",""
"4722","Transportstyrelsen","transportstyrelsen",""
"4723"," Energimarknadsinspektionen","energimarknadsinspektionen",""
"4724"," Boverket och Kustbevakningen","boverket och kustbevakningen",""
"4725","Boldien och Eurometaux","boldien och eurometaux",""
"4726","Schibsted","schibsted",""
"4727","Europeiska jämställdhetsinstitutet (EIGE)","europeiska jämställdhetsinstitutet eige",""
"4728","Energiföretagen","energiföretagen",""
"4729","Courage","courage",""
"4730"," internationella kvinnors s-förening","internationella kvinnors s förening",""
"4731"," Kalmar samt Lidhult-Angelstads s-förening","kalmar samt lidhult angelstads s förening",""
"4732","EU-kommissionären med ansvar för handelsfrågor","eu kommissionären med ansvar för handelsfrågor",""
"4733","Lantbrukarnas Riksförbund  och Livsmedelsföretagen","lantbrukarnas riksförbund och livsmedelsföretagen",""
"4734","Nordiska universitets- och högskoleförbund","nordiska universitets och högskoleförbund",""
"4735"," Svensk Handel","svensk handel",""
"4736"," Teknikföretagen","teknikföretagen",""
"4737"," Sveriges Byggindustrier och Skogsindutrierna","sveriges byggindustrier och skogsindutrierna",""
"4738","Europafacket","europafacket",""
"4739","Dansk Erhverv","dansk erhverv",""
"4740","PenSam","pensam",""
"4741","ARC","arc",""
"4742","Energinet","energinet",""
"4743","European Climate Organisation","european climate organisation",""
"4744","Ørsted","ørsted",""
"4745","Chr. Hansen A/S","chr hansen a s",""
"4746","Synergi","synergi",""
"4747","Statkraft & WWF","statkraft wwf",""
"4748","World Animal Protection","world animal protection",""
"4749","Rud Pedersen","rud pedersen",""
"4750","Aalborg Portland","aalborg portland",""
"4751","Nykredit","nykredit",""
"4752","board of Danish Construction association","board of danish construction association",""
"4753","Danish Church Aid","danish church aid",""
"4754","Danish Energy Supply","danish energy supply",""
"4755","Dansk Byggeri","dansk byggeri",""
"4756","NKT","nkt",""
"4757","Danish Chamber of Commerce","danish chamber of commerce",""
"4758","Polish Electricity Association","polish electricity association",""
"4759","Dansk Metal","dansk metal",""
"4760","DARMA / DANRO","darma danro",""
"4761","International Energy Agency","international energy agency",""
"4762","Dansk Flygtninge Hjælp","dansk flygtninge hjælp",""
"4763","DTU (Teknisk Universitet)","dtu teknisk universitet",""
"4764","Fortum","fortum",""
"4765"," Statkraft & Vattenfall","statkraft vattenfall",""
"4766","DI - Confederation of Danish Industry","di confederation of danish industry",""
"4767","Forsikring & Pension","forsikring pension",""
"4768","Danish Energy Association","danish energy association",""
"4769","Dansk Fjernvarme","dansk fjernvarme",""
"4770","Synergi & Danfoss","synergi danfoss",""
"4771","Vestas","vestas",""
"4772"," Dansk Metal & Rør og Blik","dansk metal rør og blik",""
"4773","Danish Energy Association & PKEE","danish energy association pkee",""
"4774","Cisco","cisco",""
"4775","YES","yes",""
"4776","Asetek A/S","asetek a s",""
"4777","Young Europe","young europe",""
"4778","Danmarks Biblioteksforening","danmarks biblioteksforening",""
"4779","Grundfos","grundfos",""
"4780","Dansk Fjernvarme & Euroheat & Power","dansk fjernvarme euroheat power",""
"4781","Christian Hansen","christian hansen",""
"4782"," Coloplast","coloplast",""
"4783"," Danfoss","danfoss",""
"4784"," Grundfos","grundfos",""
"4785"," Kamstrup","kamstrup",""
"4786"," Lego","lego",""
"4787"," Leo","leo",""
"4788"," Lundbeck","lundbeck",""
"4789"," Novo Nordisk","novo nordisk",""
"4790"," Novozymes","novozymes",""
"4791"," Rockwool","rockwool",""
"4792"," Velux","velux",""
"4793"," Vestas","vestas",""
"4794"," Ørsted","ørsted",""
"4795","Coalition of Trade Unions","coalition of trade unions",""
"4796","Actionaid","actionaid",""
"4797"," Eurodad & Oxfam","eurodad oxfam",""
"4798","Chinese Mission to the EU","chinese mission to the eu",""
"4799","Statnett","statnett",""
"4800","DTL","dtl",""
"4801","EFPIA","efpia",""
"4802","Ebay","ebay",""
"4803","Regional Minister of Innovation","regional minister of innovation",""
"4804","University of Granada","university of granada",""
"4805","Confederación de Sociedades Científicas de España","confederación de sociedades científicas de españa",""
"4806","European Research Council","european research council",""
"4807","EBB","ebb",""
"4808","EBBA","ebba",""
"4809","EBF","ebf",""
"4810","EBRD","ebrd",""
"4811","EBU","ebu",""
"4812","Voters without Borders","voters without borders",""
"4813"," EMMA","emma",""
"4814"," EFJ","efj",""
"4815"," ETNO","etno",""
"4816"," EFF- Electronic Frontier Foundation","eff electronic frontier foundation",""
"4817"," ACT - Association of Commercial TV in Europe","act association of commercial tv in europe",""
"4818"," SKY","sky",""
"4819"," IAB Europe","iab europe",""
"4820"," ACT|The App Association","act the app association",""
"4821"," Access Now","access now",""
"4822"," IFAW - International Fund for Animal Welfare","ifaw international fund for animal welfare",""
"4823"," Facebook","facebook",""
"4824"," Spotify","spotify",""
"4825","EC - Cabinet Timmermans members","ec cabinet timmermans members",""
"4826","ECCHR - European Centre for Constitutional and Human Rights","ecchr european centre for constitutional and human rights",""
"4827","Prävenire Gesundheitstage","prävenire gesundheitstage",""
"4828","ÖBV-Via Campesina Austria","öbv via campesina austria",""
"4829"," ClientEarth","clientearth",""
"4830"," Sherpa","sherpa",""
"4831","ECF","ecf",""
"4832","RPP Group","rpp group",""
"4833","ECHA Director Mr Hansen","echa director mr hansen",""
"4834","ECMWF - European Centre for Medium-Range Weather Forecasts","ecmwf european centre for medium range weather forecasts",""
"4835","eco","eco",""
"4836","Ecoda","ecoda",""
"4837","ecoDa","ecoda",""
"4838"," EuropeanIssuers","europeanissuers",""
"4839"," BusinessEurope","businesseurope",""
"4840","RAG Austria Ag","rag austria ag",""
"4841","E-Control","e control",""
"4842","Ecolab","ecolab",""
"4843","Österreichische Nationalbank","österreichische nationalbank",""
"4844","Ecologic Institute","ecologic institute",""
"4845","Ecopreneur","ecopreneur",""
"4846","ECOS","ecos",""
"4847","Ecosia","ecosia",""
"4848"," Soundcloud","soundcloud",""
"4849"," The Bina School","the bina school",""
"4850"," Silicon Allee","silicon allee",""
"4851"," Allied for Startups","allied for startups",""
"4852","ECPC","ecpc",""
"4853"," Association of European Cancer Leagues","association of european cancer leagues",""
"4854"," Eurohealthnet","eurohealthnet",""
"4855"," Eurordis RareDisease Europe","eurordis raredisease europe",""
"4856"," Transforming Breast Cancer Together","transforming breast cancer together",""
"4857"," Teva Pharm","teva pharm",""
"4858"," Novartis","novartis",""
"4859"," COCIR Advancing Healthcare","cocir advancing healthcare",""
"4860"," GSK","gsk",""
"4861"," Medicines for Europe","medicines for europe",""
"4862"," European Public Health Alliance","european public health alliance",""
"4863"," Health Policy Partnership","health policy partnership",""
"4864"," Oxford Health System Reform Group","oxford health system reform group",""
"4865"," European Federation of Neurological Associations","european federation of neurological associations",""
"4866"," MedTech Europe","medtech europe",""
"4867"," Health First Europe","health first europe",""
"4868"," European Heart Network","european heart network",""
"4869"," LEO Pharma A/S","leo pharma a s",""
"4870"," University Hospitals of the KULeuven","university hospitals of the kuleuven",""
"4871"," EUREGHA","euregha",""
"4872"," European Federation of Nurses Association","european federation of nurses association",""
"4873"," European Association of Urology","european association of urology",""
"4874"," EUCOPE","eucope",""
"4875"," EuropaBio","europabio",""
"4876"," German Pharmaceutical Industry Association","german pharmaceutical industry association",""
"4877"," Abbot","abbot",""
"4878"," Boehringer","boehringer",""
"4879"," European Hospital and Healthcare Employers Association","european hospital and healthcare employers association",""
"4880"," MSD","msd",""
"4881","ECRE","ecre",""
"4882"," IRC","irc",""
